code,hhi,value,tariffed,phase2
030541,3496.95917455652,326164,1,1
030549,5768.28558590916,649384,1,1
030554,10000,37725,1,1
030559,4513.20266788023,195890,1,1
030563,10000,2796,1,1
030569,7248.78037669723,26184,1,1
030572,10000,21784,1,1
030579,10000,2603,1,1
030611,3576.89176370663,2367313,1,1
030612,4713.34036350499,20198612,0,0
030614,3271.96689721278,24508374,0,0
030615,10000,41094,1,1
030616,3082.06597985467,2443273,1,1
030617,1475.38593785304,14999786,1,1
030619,2874.95550093905,404526,1,1
030631,3409.49587771198,37140,1,1
030632,7793.45939467478,246581748,1,1
030633,4512.14836844084,47481158,1,1
030635,9876.01724523553,1006885,1,1
030636,5080.09342668189,917938,1,1
030693,9866.3039284126,25510804,1,1
030695,10000,8371,1,1
030711,6420.13525844167,8717448,0,0
030712,3138.23137866332,98505,0,0
030719,9165.92848910258,164706,0,0
030721,7029.90817352403,5182438,1,1
030722,7023.94416145115,20644825,0,0
030729,5001.89109712571,95846,0,0
030731,9520.67890843386,205741,1,1
030732,7033.33071607523,396477,0,0
030739,5769.85568957146,50628,0,0
030742,3141.31392602177,300485,1,1
030743,4706.9650300934,4407377,1,1
030749,4285.95617322525,62511,1,1
030751,10000,9158,1,1
030752,3323.90691878847,1127492,1,1
030759,3981.78638421583,417874,1,1
030760,5052.82657296675,26832,0,0
030771,3354.41152855661,1769114,1,1
030772,5366.20152374546,361881,0,0
030779,4240.384493712,61528,0,0
030781,10000,25880,1,1
030782,8727.49433565065,288468,1,1
030783,10000,20025,0,0
030784,10000,4868,0,0
030787,10000,5629,0,0
030791,3364.7955114388,465484,1,1
030792,10000,3192,0,0
030799,3399.85767674024,288432,0,0
030811,6035.75812285172,765957,1,1
030812,7695.43170390101,298320,0,0
030819,9944.53840189766,2537028,0,0
030821,9488.58896018203,250189,1,1
030830,10000,9304,0,0
030890,8745.18419936185,967901,0,0
030910,5290.82094447671,59700,1,1
040110,8176.55502395254,574930,0,0
040120,3493.42422155103,46986082,0,0
040140,10000,128670,0,0
040150,3622.88374281278,14867151,0,0
040210,1422.07751677899,7093097,0,0
040221,1866.56615400166,11880057,0,0
040291,5407.44251682504,331708,0,0
040299,10000,7265,0,0
040320,2776.4230709467,2501648,0,0
040390,3025.75560972999,2416887,0,0
040410,3323.13883313762,59860313,0,0
040490,1989.46499256739,22236056,0,0
040510,2516.02300220067,141722575,0,0
040590,1855.02044746365,12032191,0,0
040610,1961.92983401905,24004934,0,0
040620,3923.05681201578,21227149,0,0
040630,1210.22076190672,3783858,0,0
040640,3608.77318482178,739759,0,0
040690,1637.23248207133,91237397,0,0
040711,3287.00330232949,70269128,0,0
040719,3681.03916745634,5116043,1,1
040721,2147.98075309253,144008703,0,0
040790,7658.95366530251,26481,0,0
040811,10000,142480,0,0
040819,4265.02906141143,1076836,0,0
040891,2220.09867350155,5859569,0,0
040899,9015.37092986317,781756,0,0
040900,1612.40272721759,14917921,1,0
041090,3348.12107129362,72305,1,1
050290,6003.61187336443,10533,1,1
